#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
117,J. JESSUP,BAY,37,3,19:19,8.2,1.6,2.5,62.8%,1.4,3.7,38%,0.8,0.8,96.8%,0.6,1.8,2.4,1.4,0.8,0.6,0.2,0.1,1.8,0.7,7.9
118,M. COSTELLO,VBC,34,6,16:45,6.5,1.1,1.6,65.5%,1.2,3,40.2%,0.8,1.6,50.9%,1,2.9,3.9,0.9,0.5,0.7,0.5,0,1.9,1.2,7.8
119,O. DA SILVA,BAY,35,17,15:54,6.2,2.5,3.9,64.4%,0.1,0.5,18.8%,0.9,1,91.7%,1.7,1.9,3.6,0.9,0.5,0.8,0.3,0.5,1.7,1,7.7
120,S. OJELEYE,CZV,38,2,22:59,7.2,1.8,3.3,54%,0.7,2.1,35.9%,1.4,1.9,73.6%,1.7,1.9,3.6,0.8,0.5,0.7,0.4,0.3,1.9,1.6,7.7
121,A. BUTKEVICIUS,ZAL,34,20,17:54,5.6,0.9,1.4,65.3%,1.1,2.1,54.3%,0.4,0.5,77.8%,0.5,2.1,2.6,1.1,0.9,0.4,0.2,0.1,2,1.3,7.7
121,E. FOURNIER,OLY,34,9,21:36,11,1.6,3.6,46.3%,2,5.8,35%,1.6,2,80.6%,0.4,1.3,1.7,2.7,0.8,1.6,0.1,0.3,2.1,1.6,7.7
123,T. SHORTS,PAO,37,16,16:04,7.8,2.7,5.5,49.5%,0.3,1,26.3%,1.5,2.2,68.7%,0.1,1.2,1.4,3,0.5,1.1,0,0.4,1.6,2.2,7.6
124,D. MCCORMACK,BAY,28,15,15:28,6.9,2.8,4.6,60.8%,0,0.1,0%,1.2,1.7,70.8%,1,2.1,3.2,0.8,0.8,1.2,0.2,0.1,2.6,2.2,7.6
125,K. JONES,EFS,36,3,15:27,3.6,1.6,1.8,92.1%,0,0,0%,0.4,0.6,66.7%,1.1,2.4,3.5,0.5,0.5,0.5,1.2,0,1.7,0.5,7.4
126,A. PETERS,OLY,38,4,14:49,6.8,1.4,2.1,65%,0.9,2.3,38.6%,1.4,1.7,82.5%,0.6,1.9,2.5,0.9,0.5,0.8,0,0.1,1.7,1.7,7.3
127,D. MOTIEJUNAS,CZV,27,25,12:33,6.1,2.1,3.3,63.3%,0.2,0.5,35.7%,1.4,2.3,59.7%,0.8,1,1.8,0.8,0.3,0.7,0,0.1,1.1,2.8,7.3
128,D. OSETKOWSKI,PAR,35,20,20:04,7.2,1.4,2.7,52.6%,1.1,3,35.8%,1.1,1.2,88.4%,1,1.9,2.9,1,1,0.4,0.1,0.3,2.2,1.2,7.3
129,N. LAPROVITTOLA,BAR,20,2,16:50,8,1.1,1.8,59.5%,1.6,4.4,35.2%,1.2,1.2,92%,0.2,1,1.1,3.8,0.7,2,0,0.2,2.4,2,7.2
130,K. HAYES,ASM,35,6,17:21,6.3,2.6,4.3,61.1%,0,0,0%,1.1,1.5,70.4%,1.7,1.6,3.3,0.6,0.7,0.8,0.9,0.3,2.7,1.3,7.2
131,A. SMAILAGIC,VIR,31,18,16:29,7.4,1.7,2.8,59.1%,0.9,2.7,34.9%,1.2,1.6,76%,0.7,1.8,2.5,0.9,0.6,0.8,0.2,0.2,1.8,1.6,7.1
132,P. DOZIER,EFS,26,16,21:56,9.7,2.4,6,40.1%,1.2,3.7,33.7%,1.2,1.6,71.4%,0.6,1.8,2.4,2.5,1,1.6,0.2,0.5,2.4,2.3,7.1
133,R. KURUCS,KBA,26,18,21:09,7.5,1.9,3.6,52.1%,0.9,2.4,38.7%,0.9,1.4,66.7%,1.5,2.2,3.7,1.5,0.9,1.6,0,0.4,2.7,1.8,7.1
134,M. FAYE,PBB,38,23,17:10,4.6,2,3,65.2%,0,0,0%,0.7,1.3,49%,2.2,2.8,5,0.2,0.4,0.8,1,0.4,2.5,1.3,7.1
135,J. PARRA,BAR,38,6,19:02,5.8,1.7,2.8,60%,0.5,1.7,30.3%,0.9,1.1,79.1%,1.3,2.3,3.5,1,0.5,0.6,0.1,0.2,1.8,1.2,7
136,W. HERNANGOMEZ,BAR,37,13,13:39,5.6,1.9,3.7,51.1%,0,0.1,25%,1.8,2.6,67.3%,1.4,2.4,3.8,0.4,0.4,1.1,0.3,0.3,2,2.5,6.9
137,M. HOWARD,KBA,23,15,20:38,10.4,1.3,2.5,53.4%,2.3,6.5,34.9%,0.9,1.1,80.8%,0.3,1.3,1.6,2.1,0.4,1.2,0,0.3,2.3,1.9,6.9
