Season;Rank;Player;Team;GP;GS;Min;PTS;2PM;2PA;2P%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
2017-18;133;C. JENKINS;KHI;34;22;21:22;5.5;0.8;1.8;45.9%;1.1;2.4;45.1%;0.6;0.8;76.9%;0.4;1.2;1.7;1.7;0.9;0.7;0.1;0.2;3.1;0.9;4.4
2017-18;134;S. SALIN;UNI;28;11;15:56;5.0;0.6;1.6;34.8%;1.1;3.8;30.5%;0.5;0.6;72.2%;0.4;1.3;1.7;1.2;0.5;1.0;0.0;0.0;1.6;2.2;4.2
2017-18;135;I. VOUGIOUKAS;PAO;33;3;8:10;3.7;1.2;2.0;63.1%;0.0;0.0;0%;1.2;1.5;78.4%;0.6;1.0;1.6;0.4;0.2;0.7;0.2;0.0;1.7;1.6;4.1
2017-18;136;M. LO;BRO;30;5;16:40;6.9;1.5;3.1;47.3%;1.2;2.9;41.4%;0.4;0.5;78.6%;0.1;1.2;1.4;1.8;0.3;1.1;0.1;0.4;2.4;0.9;4.1
2017-18;137;V. MANTZARIS;OLY;31;12;19:39;4.4;0.5;1.0;46.7%;0.8;2.9;27.5%;1.1;1.3;82.9%;0.4;1.7;2.1;2.0;0.7;0.8;0.0;0.1;2.7;1.3;4.1
2017-18;138;S. ANTONOV;CSK;34;22;13:41;4.2;1.0;1.6;58.9%;0.6;1.5;40%;0.5;0.6;72.7%;0.8;1.3;2.1;0.6;0.4;0.3;0.5;0.1;2.2;0.6;4.0
2017-18;139;L. VILDOZA;BKN;24;2;13:10;4.5;0.6;1.3;43.8%;0.9;2.1;41.2%;0.7;1.0;69.6%;0.2;1.0;1.2;2.0;0.5;1.5;0.1;0.0;2.0;1.5;3.9
2017-18;140;T. ANTETOKOUNMPO;PAO;33;26;11:17;3.6;1.3;2.3;57.3%;0.1;0.4;28.6%;0.6;1.1;58.3%;0.8;1.4;2.2;0.4;0.3;0.4;0.3;0.2;1.9;1.4;3.8
2017-18;141;M. DENMON;PAO;28;8;13:03;5.6;0.6;1.6;39.1%;1.2;3.0;41.7%;0.5;0.6;83.3%;0.3;0.5;0.8;1.0;0.5;0.6;0.1;0.2;1.3;0.8;3.8
2017-18;142;A. DIAZ;UNI;30;6;19:03;3.8;0.5;1.3;42.1%;0.8;2.5;30.7%;0.5;0.6;77.8%;0.4;1.2;1.6;2.5;0.8;0.9;0.0;0.0;2.7;1.2;3.7
2017-18;143;I. DIOP;BKN;25;5;9:30;3.5;1.1;1.9;57.4%;0.1;0.3;28.6%;1.1;1.4;77.8%;0.7;1.0;1.6;0.3;0.1;0.4;0.4;0.1;2.0;1.4;3.6
2017-18;144;A. DUVERIOGLU;FBD;27;12;8:57;3.3;1.4;2.0;70.9%;0.0;0.0;0%;0.4;1.0;46.2%;0.7;1.1;1.8;0.5;0.3;0.3;0.3;0.1;2.0;0.7;3.4
2017-18;145;S. JANKOVIC;CZV;28;0;11:50;3.8;1.2;2.5;49.3%;0.2;1.3;18.9%;0.6;0.7;84.2%;1.0;1.5;2.5;0.5;0.4;0.5;0.4;0.1;2.0;0.8;3.3
2017-18;146;K. WILTJER;OLY;24;2;9:38;4.5;0.8;1.4;55.9%;0.9;2.1;42%;0.3;0.5;66.7%;0.3;1.1;1.4;0.1;0.2;0.2;0.1;0.0;1.2;0.4;3.3
2017-18;147;J. DIBARTOLOMEO;MTA;28;6;12:50;3.3;0.5;1.4;37.5%;0.5;1.8;28.6%;0.8;0.9;80.8%;0.4;1.2;1.6;1.4;0.5;0.4;0.0;0.1;1.8;0.8;3.0
2017-18;148;S. MONIA;KHI;32;2;12:26;3.2;0.4;0.8;48%;0.8;1.9;39.3%;0.2;0.2;85.7%;0.5;0.9;1.4;1.2;0.2;0.5;0.4;0.1;1.7;0.2;2.9
2017-18;149;E. VIALTSEV;KHI;30;5;11:38;4.0;0.4;0.7;50%;0.9;2.1;41.9%;0.6;0.7;86.4%;0.2;0.7;0.9;0.7;0.3;0.6;0.0;0.1;1.8;1.2;2.9
2017-18;150;A. NIKOLIC;BRO;29;8;12:19;2.6;0.5;1.1;46.9%;0.3;1.1;32.3%;0.5;0.6;87.5%;0.1;0.8;0.9;1.7;0.1;0.7;0.0;0.1;1.8;1.5;2.8
2018-19;1;M. JAMES;AXM;30;30;33:56:00;19.8;4.0;8.4;47%;2.3;7.2;32.6%;4.9;5.9;82.6%;0.4;3.4;3.8;6.4;1.3;2.6;0.0;0.7;2.6;5.0;20.2
2018-19;2;N. MILUTINOV;OLY;28;28;26:01:00;11.7;4.5;6.8;66.1%;0.0;0.0;100%;2.6;3.6;73.3%;3.4;4.5;7.9;1.5;0.6;1.3;1.0;0.3;3.0;4.8;20.0
2018-19;3;A. GUDAITIS;AXM;21;4;23:48;12.5;3.7;5.8;63.9%;0.0;0.0;0%;5.1;6.3;80.5%;3.3;3.8;7.1;0.4;0.8;1.3;1.0;0.3;3.0;4.8;18.7
2018-19;4;V. POIRIER;KBA;34;26;25:38:00;11.9;5.0;8.1;61.7%;0.0;0.0;0%;2.0;2.7;73.1%;3.4;4.9;8.3;1.1;0.8;1.3;0.8;0.3;2.6;2.8;17.7
2018-19;5;J. VESELY;FNB;31;11;25:05:00;12.3;4.4;6.6;66.2%;0.0;0.2;20%;3.5;4.4;78.7%;1.6;3.1;4.7;2.4;1.4;1.8;0.5;0.1;2.8;4.4;17.6
2018-19;6;W. CLYBURN;CSK;35;13;26:59:00;13.6;3.7;6.9;52.7%;1.0;2.8;34.3%;3.3;4.5;74.5%;1.7;5.1;6.8;1.5;1.0;1.4;0.2;0.5;1.9;4.6;17.5
2018-19;7;B. DAVIES;ZAL;34;33;24:12:00;14.2;5.2;9.3;55.9%;0.0;0.0;0%;3.9;5.1;76.2%;1.8;3.6;5.5;2.0;1.0;1.9;0.4;0.6;2.9;4.5;16.9
2018-19;8;N. DE COLO;CSK;34;24;24:13:00;14.7;3.0;5.4;55.2%;1.7;4.0;43.1%;3.6;3.8;94.6%;0.5;2.0;2.5;3.4;0.9;2.1;0.0;0.5;1.8;4.1;16.4
2018-19;9;N. CALATHES;PAO;33;33;30:58:00;12.2;3.8;8.1;46.3%;1.2;4.5;26.5%;1.2;2.2;52.8%;0.5;3.8;4.3;8.7;1.7;3.1;0.1;0.5;2.6;3.7;15.8
2018-19;10;J. MICKEY;KHI;28;5;22:33;14.2;4.8;8.4;57.2%;0.7;2.0;35.1%;2.4;3.3;73.9%;1.7;3.3;5.0;0.7;0.8;1.5;1.1;0.5;1.9;3.4;15.4
